Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
sample065,0,0,0.0351146210805207,0,0,0.316003534363458,0,0,0,0,0.0411785711080364,0,0.0593721268474226,0,0.0225215485952147,0.188480243844389,0.109329898692675,0.0367699970677194,0.191229458400565,0,0,0,0,0.112231178500909,1.02843683344108
sample066,0.263714111314122,0,0.0736727454780194,0.0530819166594294,0,0.119186993516212,0,0.0775497748983578,0.0394297977007641,0,0,0.0224990107187948,0.00679673917007194,0.103372189065132,0.0385874379225004,0.140677073496994,0,0.012577157341676,0.0396641207500509,0,0,0.00919093196787437,0,0.430511872018866,0.902330193700363
sample067,0.00906401176038774,0,0.0498406367655227,0,0,0.248624196881679,0,0,0,0,0.0422363147733012,0,0.191702754590414,0,0,0.357480258481637,0,0.0507702670711995,0,0.00807222616346008,0.0422093335123993,0,0,0.0517366150620624,1.06243046954293
sample068,0.0444994524842321,0.0787180260619007,0,0.115021648523668,0,0.310075450188645,0,0,0,0,0,0.0608098465110773,0.0700893168261368,0.140794725773925,0,0.0604247367640785,0.0206925007457492,0.0763132524509866,0,0.0190282173581671,0.0035328263114336,0,0,0.163209191317978,1.02396414687045
sample069,0.0595248490606136,0,0.0129492875593476,0.0773124106656776,0,0.260938602003199,0,0.00419540057786992,0.00935106160159134,0,0,0.0370794836774331,0.0571908080914282,0.0385778207837433,0.0505274271531098,0.137659704775475,0.0236179089918244,0.031112672787614,0.19541617463086,0,0.00454638764021293,0,0,0.109956861767373,1.03276600624953
sample070,0.0405107814035205,0,0,0.0139994281523729,0,0.131662515201503,0,0,0.0180785063033156,0,0.0346968702778338,0,0.0311280027563871,0.312086631256257,0.0120633233072365,0.29663676069329,0,0.0510356474919036,0.0425998821137419,0,0,0.0155016510426389,0,0.231913775037264,1.00648994476785
sample071,0.00701129719176607,0.0259673056586599,0,0.0358039668041843,0,0.106170592604428,0,0.00408647310464503,0.0400913058190681,0,0,0.0426838199362474,0.0939583733242541,0.228355818895569,0.0345713238453587,0.215181468391484,0.030465181311647,0.0167641073762045,0.0552830688470583,0,0,0.063605896889426,0,0.186196522604855,1.01456799359372
sample072,0.152627308993662,0,0,0.0931710079059455,0,0.171858138372654,0,0.00943902367613301,0.0215441677423723,0,0.00162964866686481,0.0126785619348018,0.0978016102682532,0.0930901583486558,0.0212689625767883,0.239042440870531,0.0232634876159179,0.0132830669322961,0.0493024160951245,0,0,0,0,0.287676175381455,0.963845909088293
sample073,0.00128483111931842,0.0124544379490182,0.0222734704654771,0,0,0.289142587897843,0.00508631373902702,0,0,0,0.0369281677872004,0.00618279610140355,0.0899739482550125,0.12218879610892,0.0160208649650833,0.23954127772539,0.0179921655515093,0.0159300384816531,0.0965754458949128,0,0,0.0284248579582314,0,0.0604139538217617,1.05326514456064
sample074,0.0699682682930385,0,0.0188222335716787,0,0,0.281862785079127,0,0,0.0388547107948653,0,0,0.0548391809618362,0.0301551277394313,0.351056801721855,0.0282812745228331,0.0708378378592058,0,0.0291396545028036,0.0261821249533256,0,0,0,0,0.141038155645633,1.04166823020584
